time,pop,nrfr,fpc,iopc,ppolx,io,f,le,sopc,ciopc,hwi,ef,nr,pp,al,lfert
2021.5,7581090810.201,0.40334801487647304,454.21323590790456,349.82627373695027,7.408758221100844,2652064748994.053,3443431788613.074,79.35038408397843,585.7738596818405,150.4252977068886,0.784882540031567,2.4609481508912103,403348014876.473,1007591118.0697148,2120565237.0772185,501.35981402593427
2022.0,7604175039.439852,0.39515672246421446,452.0431425864161,343.3495863636972,7.556324747353402,2610890354428.8237,3437415181605.575,78.99166853553359,585.8572121791876,147.64032213638978,0.7814746729634653,2.4497645259261116,395156722464.2145,1027660165.6400627,2124752883.4445539,499.3102090006556
2022.5,7625364003.249441,0.3871559559313363,449.4412069148873,334.03279102993565,7.705330003249725,2547121620624.6143,3427152800785.765,78.49332911328517,585.4156859774407,143.63410014287234,0.7766317145487274,2.427043854190668,387155955931.3363,1047924880.4419626,2128664349.5760021,497.21596022194393
2023.0,7644037783.1606655,0.3794437126425659,446.27435888281167,324.9087765860884,7.855609237504397,2483614964304.567,3411338060956.015,77.93983412414208,584.2299830956074,139.710773932018,0.7652636210611036,2.40026858900737,379443712642.56586,1068362856.300598,2132210153.0665388,495.0353024251865
2023.5,7660416820.623176,0.3720177141761557,442.759689910387,315.9730771388535,8.00698640630451,2420485474978.5376,3391723776083.43,77.3536408011432,582.3425425370522,135.868423169707,0.7533453328914476,2.3709950746912845,372017714176.1557,1088950151.2574134,2135366833.1970153,492.77038878712614
2024.0,7674689131.553139,0.36487527779240503,439.01091486010006,307.22676921350507,8.15926626378793,2357869946605.072,3369272296910.0103,76.74649993287206,579.7952729857877,132.1075107618072,0.7414585101279075,2.3401589679276094,364875277792.405,1109660211.8751585,2138112389.5776498,490.41583286504505
2024.5,7687013995.485556,0.3580132068852067,435.0834556689515,298.67381021630445,8.312221706369003,2295909759217.729,3344492612931.4497,76.12416388232144,576.6299173540363,128.4297383930109,0.7296381636821581,2.3083530149469706,358013206885.2067,1130462152.0661845,2140386212.1656396,487.96612356555687
2025.0,7697526029.795301,0.35142775798659764,431.02238999634426,290.31944815684056,8.465584013165456,2234741509143.088,3317806066421.442,75.49134073953117,572.8880832848038,124.83736270744146,0.7179151663404691,2.2759775308446737,351427757986.59766,1151319425.790502,2142220529.199696,485.4182566474632
2025.5,7706341549.696604,0.3451146505975045,426.85953138059796,282.1694076920554,8.619036633020809,2174493830550.5671,3289525342562.323,74.85138452639953,568.6109338597021,121.33284530758384,0.7062642895714196,2.243317718908535,345114650597.5045,1172188982.0908298,2143649062.556411,482.77215552256837
2026.0,7713562617.458726,0.33906909378620925,422.61983240810554,274.229287023468,8.772212370918595,2115284776996.5818,3259904540659.8345,74.20694697625974,563.8389876934926,117.91859342009123,0.6945904383133934,2.2105882306106666,339069093786.2092,1193020882.444929,2144704981.2355504,480.0306147988554
2026.5,7719280372.834542,0.33328582606470564,418.32454054849705,266.50417395483925,8.924693500232447,2057220439288.0732,3229164415331.041,73.56029423497921,558.6119226922888,114.59679480058087,0.6830764291207467,2.1779579331747705,333285826064.7056,1213758316.0316129,2145419905.1369905,477.1989048621573
2027.0,7723577687.265258,0.3277591628105958,413.2736083850605,258.9984040433336,9.076014234625998,2000394294506.4036,3191950820458.4536,72.84051920621202,552.9684023915227,111.36931373863347,0.6713260993179461,2.1455687905967116,327759162810.5958,1234337935.9091356,2145832654.5767198,474.2843102229008
2027.5,7726451612.930041,0.3224830477313997,408.00688802728706,251.7115114311137,9.22566500756592,1944836813489.987,3152445478084.999,72.10280356641624,546.9515669629417,108.2359499153789,0.6596530540191049,2.1141511531938804,322483047731.39966,1254690441.0289652,2145924101.0390334,471.295706883978
2028.0,7727952222.770308,0.3174512898981995,402.8639208948577,244.64579616866632,9.373098068483907,1890611024293.0564,3113313132953.377,71.38162892405006,540.5983039259106,105.19769235252652,0.6482565759809619,2.083652739891229,317451289898.19946,1274741337.3138113,2145729439.9105523,468.2304911450427
2028.5,7728162431.814813,0.312657445167164,397.7298163628467,237.80428161430422,9.517733980576871,1837790115296.3757,3073720624827.956,70.66543256986455,533.9415083171381,102.25584109415081,0.6370759711601216,2.0536144198561974,312657445167.164,1294411821.3584545,2145334372.5798428,465.0894474258337
2029.0,7727148692.856482,0.308094786507059,392.62199561207296,231.18807443070278,9.65896868064171,1786424627141.212,3033848540180.5327,69.95601239397907,527.0139017781843,99.41087200520218,0.6261244557007707,2.024112767477681,308094786507.059,1313619740.5672727,2144759176.6911905,461.88170097574715
2029.5,7724944656.762443,0.3037563956751016,387.5592872435458,224.79815055031287,9.79618130417765,1736553271943.7185,2993874045170.6895,69.25530387318139,519.8489086282505,96.66320473663453,0.6154160591919862,1.995210979631327,303756395675.1016,1332280657.3681605,2144022242.8946118,458.61926443996373
2030.0,7721145322.912596,0.2996352002058909,382.58135430596496,218.80666474062244,9.928742283199567,1689438056084.1614,2953966234433.068,68.57247371821725,512.5074458779864,94.08686583846765,0.6051882295450852,1.9674282515864752,299635200205.8909,1350308950.515141,2143140146.1980767,455.3159598879892
